PARAM_ID,STEP_ID,TEMPERATURE,PRESSURE,SPEED,DURATION,ADDITIONAL_PARAMS
PARAM-000053,STEP-000053,20.4,470.0,,142,{}
PARAM-000054,STEP-000054,23.6,,,47,{}
PARAM-000055,STEP-000055,29.4,,821.6,72,{}
PARAM-000056,STEP-000056,1583.5,,10.6,196,"{""wire_type"": ""ER100S-G"", ""shielding_gas"": ""75/25 Ar/CO2""}"
PARAM-000057,STEP-000057,868.6,,,3749,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""air""}"
PARAM-000058,STEP-000058,69.3,36.8,,134,"{""coating_type"": ""powder"", ""thickness_mil"": 2.8}"
PARAM-000059,STEP-000059,21.8,57.4,,223,{}
PARAM-000060,STEP-000060,21.3,,,33,{}
PARAM-000061,STEP-000061,20.8,83.4,,360,{}
PARAM-000062,STEP-000062,22.2,307.4,,86,{}
PARAM-000063,STEP-000063,22.4,,,51,{}
PARAM-000064,STEP-000064,28.3,,884.8,145,{}
PARAM-000065,STEP-000065,1627.1,,6.8,257,"{""wire_type"": ""ER100S-G"", ""shielding_gas"": ""75/25 Ar/CO2""}"
PARAM-000066,STEP-000066,868.4,,,3433,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""oil""}"
PARAM-000067,STEP-000067,72.6,46.3,,212,"{""coating_type"": ""powder"", ""thickness_mil"": 3.2}"
PARAM-000068,STEP-000068,24.9,53.9,,438,{}
PARAM-000069,STEP-000069,22.8,,,35,{}
PARAM-000070,STEP-000070,21.1,86.9,,261,{}
PARAM-000071,STEP-000071,24.0,261.8,,180,{}
PARAM-000072,STEP-000072,21.0,,,46,{}
PARAM-000073,STEP-000073,25.6,,1031.3,163,{}
PARAM-000074,STEP-000074,1734.8,,9.8,232,"{""wire_type"": ""ER80S-D2"", ""shielding_gas"": ""75/25 Ar/CO2""}"
PARAM-000075,STEP-000075,859.5,,,3125,"{""atmosphere"": ""argon"", ""quench_medium"": ""water""}"
PARAM-000076,STEP-000076,75.7,45.8,,262,"{""coating_type"": ""polyurethane"", ""thickness_mil"": 3.6}"
PARAM-000077,STEP-000077,24.3,94.7,,331,{}
PARAM-000078,STEP-000078,20.1,,,32,{}
PARAM-000079,STEP-000079,23.3,69.6,,546,{}
PARAM-000080,STEP-000080,21.0,194.7,,75,{}
PARAM-000081,STEP-000081,24.0,,,53,{}
PARAM-000082,STEP-000082,31.8,,1288.2,53,{}
PARAM-000083,STEP-000083,1563.9,,8.9,153,"{""wire_type"": ""ER70S-6"", ""shielding_gas"": ""100% CO2""}"
PARAM-000084,STEP-000084,876.3,,,3480,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""air""}"
PARAM-000085,STEP-000085,65.3,36.2,,264,"{""coating_type"": ""polyurethane"", ""thickness_mil"": 2.4}"
PARAM-000086,STEP-000086,21.8,59.1,,220,{}
PARAM-000087,STEP-000087,22.6,,,39,{}
PARAM-000088,STEP-000088,21.6,75.5,,354,{}
PARAM-000089,STEP-000089,22.6,173.6,,139,{}
PARAM-000090,STEP-000090,22.7,,,53,{}
PARAM-000091,STEP-000091,31.9,,883.4,122,{}
PARAM-000092,STEP-000092,1629.9,,12.6,243,"{""wire_type"": ""ER70S-6"", ""shielding_gas"": ""100% CO2""}"
PARAM-000093,STEP-000093,893.9,,,3122,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""air""}"
PARAM-000094,STEP-000094,74.7,42.0,,191,"{""coating_type"": ""powder"", ""thickness_mil"": 2.7}"
PARAM-000095,STEP-000095,23.6,60.6,,261,{}
PARAM-000096,STEP-000096,21.1,,,52,{}
PARAM-000097,STEP-000097,22.0,96.7,,513,{}
PARAM-000098,STEP-000098,23.0,236.2,,116,{}
PARAM-000099,STEP-000099,21.4,,,77,{}
PARAM-000100,STEP-000100,32.7,,1035.3,109,{}
PARAM-000101,STEP-000101,1566.8,,10.3,297,"{""wire_type"": ""ER100S-G"", ""shielding_gas"": ""90/10 Ar/CO2""}"
PARAM-000102,STEP-000102,853.0,,,3629,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""air""}"
PARAM-000103,STEP-000103,72.8,38.6,,141,"{""coating_type"": ""polyurethane"", ""thickness_mil"": 2.3}"
PARAM-000104,STEP-000104,23.1,95.5,,187,{}
PARAM-000105,STEP-000105,23.7,,,45,{}
PARAM-000106,STEP-000106,22.9,55.8,,505,{}
PARAM-000107,STEP-000107,21.6,446.0,,123,{}
PARAM-000108,STEP-000108,22.4,,,56,{}
PARAM-000109,STEP-000109,27.8,,1490.4,129,{}
PARAM-000110,STEP-000110,1701.6,,6.4,128,"{""wire_type"": ""ER80S-D2"", ""shielding_gas"": ""90/10 Ar/CO2""}"
PARAM-000111,STEP-000111,854.4,,,3340,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""water""}"
PARAM-000112,STEP-000112,71.7,33.3,,170,"{""coating_type"": ""epoxy"", ""thickness_mil"": 2.6}"
PARAM-000113,STEP-000113,22.3,90.4,,268,{}
PARAM-000114,STEP-000114,23.5,,,30,{}
PARAM-000115,STEP-000115,21.7,72.5,,592,{}
PARAM-000116,STEP-000116,20.8,400.1,,175,{}
PARAM-000117,STEP-000117,22.6,,,37,{}
PARAM-000118,STEP-000118,31.7,,1115.7,82,{}
PARAM-000119,STEP-000119,1674.9,,12.5,68,"{""wire_type"": ""ER70S-6"", ""shielding_gas"": ""75/25 Ar/CO2""}"
PARAM-000120,STEP-000120,858.8,,,3884,"{""atmosphere"": ""argon"", ""quench_medium"": ""water""}"
PARAM-000121,STEP-000121,68.7,40.5,,239,"{""coating_type"": ""polyurethane"", ""thickness_mil"": 3.9}"
PARAM-000122,STEP-000122,21.2,74.9,,327,{}
PARAM-000123,STEP-000123,22.5,,,55,{}
PARAM-000124,STEP-000124,21.0,74.0,,582,{}
PARAM-000125,STEP-000125,24.6,326.8,,178,{}
PARAM-000126,STEP-000126,24.8,,,83,{}
PARAM-000127,STEP-000127,26.0,,835.3,57,{}
PARAM-000128,STEP-000128,1681.4,,5.2,130,"{""wire_type"": ""ER100S-G"", ""shielding_gas"": ""100% CO2""}"
PARAM-000129,STEP-000129,864.0,,,3499,"{""atmosphere"": ""argon"", ""quench_medium"": ""oil""}"
PARAM-000130,STEP-000130,66.6,41.9,,293,"{""coating_type"": ""powder"", ""thickness_mil"": 2.3}"
PARAM-000131,STEP-000131,24.9,54.4,,371,{}
PARAM-000132,STEP-000132,21.6,,,36,{}
PARAM-000133,STEP-000133,22.1,69.9,,516,{}
PARAM-000134,STEP-000134,21.2,282.6,,139,{}
PARAM-000135,STEP-000135,21.0,,,45,{}
PARAM-000136,STEP-000136,32.1,,1222.6,140,{}
PARAM-000137,STEP-000137,1737.2,,9.8,84,"{""wire_type"": ""ER70S-6"", ""shielding_gas"": ""90/10 Ar/CO2""}"
PARAM-000138,STEP-000138,874.3,,,3446,"{""atmosphere"": ""argon"", ""quench_medium"": ""oil""}"
PARAM-000139,STEP-000139,72.7,40.9,,247,"{""coating_type"": ""powder"", ""thickness_mil"": 3.7}"
PARAM-000140,STEP-000140,21.8,99.5,,193,{}
PARAM-000141,STEP-000141,24.6,,,36,{}
PARAM-000142,STEP-000142,20.5,83.2,,349,{}
PARAM-000143,STEP-000143,20.1,429.3,,166,{}
PARAM-000144,STEP-000144,21.9,,,51,{}
PARAM-000145,STEP-000145,28.3,,1156.0,101,{}
PARAM-000146,STEP-000146,1644.4,,8.7,273,"{""wire_type"": ""ER100S-G"", ""shielding_gas"": ""100% CO2""}"
PARAM-000147,STEP-000147,855.1,,,3814,"{""atmosphere"": ""argon"", ""quench_medium"": ""oil""}"
PARAM-000148,STEP-000148,60.7,36.3,,235,"{""coating_type"": ""epoxy"", ""thickness_mil"": 2.1}"
PARAM-000149,STEP-000149,21.8,89.5,,317,{}
PARAM-000150,STEP-000150,21.1,,,45,{}
PARAM-000151,STEP-000151,23.2,57.9,,299,{}
PARAM-000152,STEP-000152,24.5,458.5,,175,{}
PARAM-000153,STEP-000153,23.1,,,64,{}
PARAM-000154,STEP-000154,25.8,,1090.5,152,{}
PARAM-000155,STEP-000155,1519.1,,12.3,229,"{""wire_type"": ""ER100S-G"", ""shielding_gas"": ""90/10 Ar/CO2""}"
PARAM-000156,STEP-000156,886.8,,,3881,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""oil""}"
PARAM-000157,STEP-000157,70.7,33.1,,288,"{""coating_type"": ""epoxy"", ""thickness_mil"": 3.1}"
PARAM-000158,STEP-000158,24.3,65.2,,229,{}
PARAM-000159,STEP-000159,22.8,,,48,{}
PARAM-000160,STEP-000160,21.7,52.2,,248,{}
PARAM-000161,STEP-000161,23.0,230.1,,133,{}
PARAM-000162,STEP-000162,22.2,,,67,{}
PARAM-000163,STEP-000163,32.2,,1250.8,69,{}
PARAM-000164,STEP-000164,1759.3,,9.4,136,"{""wire_type"": ""ER100S-G"", ""shielding_gas"": ""100% CO2""}"
PARAM-000165,STEP-000165,863.5,,,3649,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""oil""}"
PARAM-000166,STEP-000166,79.5,42.9,,292,"{""coating_type"": ""epoxy"", ""thickness_mil"": 3.2}"
PARAM-000167,STEP-000167,23.8,69.0,,424,{}
PARAM-000168,STEP-000168,24.6,,,36,{}
PARAM-000169,STEP-000169,24.5,56.9,,274,{}
PARAM-000170,STEP-000170,23.9,140.6,,78,{}
PARAM-000171,STEP-000171,20.1,,,75,{}
PARAM-000172,STEP-000172,28.1,,1149.5,37,{}
PARAM-000173,STEP-000173,1620.9,,12.1,107,"{""wire_type"": ""ER80S-D2"", ""shielding_gas"": ""100% CO2""}"
PARAM-000174,STEP-000174,864.2,,,3703,"{""atmosphere"": ""argon"", ""quench_medium"": ""oil""}"
PARAM-000175,STEP-000175,74.6,39.3,,267,"{""coating_type"": ""epoxy"", ""thickness_mil"": 3.0}"
PARAM-000176,STEP-000176,22.9,52.5,,365,{}
PARAM-000177,STEP-000177,20.1,,,49,{}
PARAM-000178,STEP-000178,23.1,56.8,,513,{}
PARAM-000179,STEP-000179,22.3,295.8,,104,{}
PARAM-000180,STEP-000180,21.5,,,40,{}
PARAM-000181,STEP-000181,33.0,,808.7,164,{}
PARAM-000182,STEP-000182,1577.7,,10.7,66,"{""wire_type"": ""ER80S-D2"", ""shielding_gas"": ""100% CO2""}"
PARAM-000183,STEP-000183,879.5,,,3019,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""oil""}"
PARAM-000184,STEP-000184,74.6,39.2,,134,"{""coating_type"": ""polyurethane"", ""thickness_mil"": 4.4}"
PARAM-000185,STEP-000185,24.4,57.4,,228,{}
PARAM-000186,STEP-000186,22.4,,,31,{}
PARAM-000187,STEP-000187,23.3,55.2,,443,{}
PARAM-000188,STEP-000188,20.2,107.1,,120,{}
PARAM-000189,STEP-000189,24.4,,,42,{}
PARAM-000190,STEP-000190,30.1,,1204.2,30,{}
PARAM-000191,STEP-000191,1507.8,,8.8,284,"{""wire_type"": ""ER80S-D2"", ""shielding_gas"": ""75/25 Ar/CO2""}"
PARAM-000192,STEP-000192,888.8,,,3133,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""air""}"
PARAM-000193,STEP-000193,74.9,37.6,,122,"{""coating_type"": ""powder"", ""thickness_mil"": 4.5}"
PARAM-000194,STEP-000194,21.8,90.7,,453,{}
PARAM-000195,STEP-000195,23.3,,,58,{}
PARAM-000196,STEP-000196,24.8,57.0,,579,{}
PARAM-000197,STEP-000197,22.2,493.1,,96,{}
PARAM-000198,STEP-000198,22.6,,,47,{}
PARAM-000199,STEP-000199,25.6,,1378.5,134,{}
PARAM-000200,STEP-000200,1575.1,,10.0,112,"{""wire_type"": ""ER70S-6"", ""shielding_gas"": ""75/25 Ar/CO2""}"
PARAM-000201,STEP-000201,862.3,,,3544,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""water""}"
PARAM-000202,STEP-000202,62.0,40.1,,143,"{""coating_type"": ""epoxy"", ""thickness_mil"": 3.9}"
PARAM-000203,STEP-000203,22.0,95.1,,394,{}
PARAM-000204,STEP-000204,20.5,,,55,{}
PARAM-000205,STEP-000205,23.2,60.4,,293,{}
PARAM-000206,STEP-000206,24.9,297.8,,153,{}
PARAM-000207,STEP-000207,23.7,,,78,{}
PARAM-000208,STEP-000208,26.4,,1172.4,73,{}
PARAM-000209,STEP-000209,1713.0,,13.5,243,"{""wire_type"": ""ER100S-G"", ""shielding_gas"": ""90/10 Ar/CO2""}"
PARAM-000210,STEP-000210,861.2,,,3307,"{""atmosphere"": ""argon"", ""quench_medium"": ""oil""}"
PARAM-000211,STEP-000211,69.6,40.7,,170,"{""coating_type"": ""polyurethane"", ""thickness_mil"": 4.4}"
PARAM-000212,STEP-000212,23.1,71.5,,248,{}
PARAM-000213,STEP-000213,22.0,,,60,{}
PARAM-000214,STEP-000214,20.6,91.8,,321,{}
PARAM-000215,STEP-000215,23.1,392.6,,64,{}
PARAM-000216,STEP-000216,22.4,,,78,{}
PARAM-000217,STEP-000217,27.2,,846.7,132,{}
PARAM-000218,STEP-000218,1700.6,,5.8,194,"{""wire_type"": ""ER100S-G"", ""shielding_gas"": ""90/10 Ar/CO2""}"
PARAM-000219,STEP-000219,876.8,,,4085,"{""atmosphere"": ""argon"", ""quench_medium"": ""oil""}"
PARAM-000220,STEP-000220,65.2,33.2,,297,"{""coating_type"": ""polyurethane"", ""thickness_mil"": 2.2}"
PARAM-000221,STEP-000221,23.6,59.6,,308,{}
PARAM-000222,STEP-000222,20.4,,,40,{}
PARAM-000223,STEP-000223,23.3,80.6,,381,{}
PARAM-000224,STEP-000224,21.6,145.5,,177,{}
PARAM-000225,STEP-000225,21.5,,,42,{}
PARAM-000226,STEP-000226,32.6,,1432.1,35,{}
PARAM-000227,STEP-000227,1668.6,,6.9,171,"{""wire_type"": ""ER100S-G"", ""shielding_gas"": ""90/10 Ar/CO2""}"
PARAM-000228,STEP-000228,898.3,,,3873,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""air""}"
PARAM-000229,STEP-000229,60.2,46.1,,183,"{""coating_type"": ""polyurethane"", ""thickness_mil"": 2.1}"
PARAM-000230,STEP-000230,20.4,93.4,,284,{}
PARAM-000231,STEP-000231,23.4,,,50,{}
PARAM-000232,STEP-000232,23.4,74.7,,395,{}
PARAM-000233,STEP-000233,21.7,118.5,,154,{}
PARAM-000234,STEP-000234,20.9,,,82,{}
PARAM-000235,STEP-000235,30.0,,1305.7,34,{}
PARAM-000236,STEP-000236,1519.0,,7.4,203,"{""wire_type"": ""ER100S-G"", ""shielding_gas"": ""90/10 Ar/CO2""}"
PARAM-000237,STEP-000237,872.8,,,3590,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""air""}"
PARAM-000238,STEP-000238,75.0,47.5,,214,"{""coating_type"": ""epoxy"", ""thickness_mil"": 4.2}"
PARAM-000239,STEP-000239,24.5,91.0,,435,{}
PARAM-000240,STEP-000240,22.2,,,57,{}
PARAM-000241,STEP-000241,23.0,53.3,,418,{}
PARAM-000242,STEP-000242,23.8,159.0,,86,{}
PARAM-000243,STEP-000243,22.3,,,56,{}
PARAM-000244,STEP-000244,26.6,,1031.7,158,{}
PARAM-000245,STEP-000245,1661.0,,12.8,102,"{""wire_type"": ""ER100S-G"", ""shielding_gas"": ""75/25 Ar/CO2""}"
PARAM-000246,STEP-000246,874.4,,,3633,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""air""}"
PARAM-000247,STEP-000247,62.2,30.8,,130,"{""coating_type"": ""powder"", ""thickness_mil"": 4.2}"
PARAM-000248,STEP-000248,24.2,54.4,,199,{}
PARAM-000249,STEP-000249,23.4,,,39,{}
PARAM-000250,STEP-000250,24.5,52.2,,598,{}
PARAM-000251,STEP-000251,23.4,222.4,,80,{}
PARAM-000252,STEP-000252,22.8,,,82,{}
PARAM-000253,STEP-000253,25.7,,1332.8,124,{}
PARAM-000254,STEP-000254,1508.3,,12.4,95,"{""wire_type"": ""ER100S-G"", ""shielding_gas"": ""90/10 Ar/CO2""}"
PARAM-000255,STEP-000255,860.1,,,3765,"{""atmosphere"": ""argon"", ""quench_medium"": ""water""}"
PARAM-000256,STEP-000256,74.8,45.2,,164,"{""coating_type"": ""polyurethane"", ""thickness_mil"": 4.9}"
PARAM-000257,STEP-000257,20.4,53.9,,331,{}
PARAM-000258,STEP-000258,23.6,,,59,{}
PARAM-000259,STEP-000259,23.5,75.9,,583,{}
PARAM-000260,STEP-000260,20.4,331.4,,165,{}
PARAM-000261,STEP-000261,22.2,,,52,{}
PARAM-000262,STEP-000262,29.9,,1043.7,154,{}
PARAM-000263,STEP-000263,1724.7,,9.6,185,"{""wire_type"": ""ER70S-6"", ""shielding_gas"": ""75/25 Ar/CO2""}"
PARAM-000264,STEP-000264,859.0,,,3711,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""oil""}"
PARAM-000265,STEP-000265,66.8,34.1,,234,"{""coating_type"": ""epoxy"", ""thickness_mil"": 3.3}"
PARAM-000266,STEP-000266,22.0,78.5,,467,{}
PARAM-000267,STEP-000267,20.7,,,44,{}
PARAM-000268,STEP-000268,20.5,95.5,,275,{}
PARAM-000269,STEP-000269,24.8,119.4,,103,{}
PARAM-000270,STEP-000270,24.7,,,38,{}
PARAM-000271,STEP-000271,25.1,,1104.1,136,{}
PARAM-000272,STEP-000272,1548.0,,7.6,61,"{""wire_type"": ""ER70S-6"", ""shielding_gas"": ""100% CO2""}"
PARAM-000273,STEP-000273,829.6,,,2673,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""air""}"
PARAM-000274,STEP-000274,63.6,44.3,,264,"{""coating_type"": ""polyurethane"", ""thickness_mil"": 3.9}"
PARAM-000275,STEP-000275,20.1,64.0,,305,{}
PARAM-000276,STEP-000276,20.5,,,42,{}
PARAM-000277,STEP-000277,22.6,64.9,,599,{}
PARAM-000278,STEP-000278,20.0,397.8,,162,{}
PARAM-000279,STEP-000279,24.7,,,73,{}
PARAM-000280,STEP-000280,27.2,,876.3,147,{}
PARAM-000281,STEP-000281,1780.4,,13.3,72,"{""wire_type"": ""ER100S-G"", ""shielding_gas"": ""90/10 Ar/CO2""}"
PARAM-000282,STEP-000282,874.5,,,3510,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""air""}"
PARAM-000283,STEP-000283,65.7,36.2,,149,"{""coating_type"": ""powder"", ""thickness_mil"": 2.5}"
PARAM-000284,STEP-000284,20.5,60.9,,434,{}
PARAM-000285,STEP-000285,22.1,,,38,{}
PARAM-000286,STEP-000286,20.0,73.3,,562,{}
PARAM-000287,STEP-000287,22.4,345.6,,134,{}
PARAM-000288,STEP-000288,20.6,,,56,{}
PARAM-000289,STEP-000289,33.6,,1374.9,51,{}
PARAM-000290,STEP-000290,1647.3,,7.2,249,"{""wire_type"": ""ER100S-G"", ""shielding_gas"": ""100% CO2""}"
PARAM-000291,STEP-000291,829.2,,,2681,"{""atmosphere"": ""argon"", ""quench_medium"": ""air""}"
PARAM-000292,STEP-000292,69.6,45.2,,212,"{""coating_type"": ""polyurethane"", ""thickness_mil"": 2.9}"
PARAM-000293,STEP-000293,22.6,72.4,,357,{}
PARAM-000294,STEP-000294,23.2,,,30,{}
PARAM-000295,STEP-000295,20.8,79.4,,399,{}
PARAM-000296,STEP-000296,23.9,449.0,,136,{}
PARAM-000297,STEP-000297,20.6,,,33,{}
PARAM-000298,STEP-000298,27.7,,1085.4,87,{}
PARAM-000299,STEP-000299,1783.9,,7.5,184,"{""wire_type"": ""ER100S-G"", ""shielding_gas"": ""100% CO2""}"
PARAM-000300,STEP-000300,883.2,,,3871,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""air""}"
PARAM-000301,STEP-000301,63.7,32.5,,224,"{""coating_type"": ""powder"", ""thickness_mil"": 4.2}"
PARAM-000302,STEP-000302,20.0,84.3,,419,{}
PARAM-000303,STEP-000303,20.9,,,55,{}
PARAM-000304,STEP-000304,22.1,69.6,,276,{}
PARAM-000305,STEP-000305,20.3,396.5,,178,{}
PARAM-000306,STEP-000306,22.9,,,62,{}
PARAM-000307,STEP-000307,34.3,,1238.6,121,{}
PARAM-000308,STEP-000308,1679.2,,7.1,137,"{""wire_type"": ""ER100S-G"", ""shielding_gas"": ""100% CO2""}"
PARAM-000309,STEP-000309,875.3,,,3706,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""water""}"
PARAM-000310,STEP-000310,67.1,39.4,,124,"{""coating_type"": ""epoxy"", ""thickness_mil"": 4.8}"
PARAM-000311,STEP-000311,22.7,93.4,,421,{}
PARAM-000312,STEP-000312,23.8,,,36,{}
PARAM-000313,STEP-000313,20.3,74.0,,533,{}
PARAM-000314,STEP-000314,24.9,225.0,,176,{}
PARAM-000315,STEP-000315,24.2,,,71,{}
PARAM-000316,STEP-000316,34.2,,1357.2,79,{}
PARAM-000317,STEP-000317,1740.2,,11.4,254,"{""wire_type"": ""ER100S-G"", ""shielding_gas"": ""100% CO2""}"
PARAM-000318,STEP-000318,826.5,,,2624,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""air""}"
PARAM-000319,STEP-000319,65.7,41.2,,235,"{""coating_type"": ""epoxy"", ""thickness_mil"": 2.9}"
PARAM-000320,STEP-000320,21.6,83.3,,451,{}
PARAM-000321,STEP-000321,20.8,,,47,{}
PARAM-000322,STEP-000322,21.3,78.0,,342,{}
PARAM-000323,STEP-000323,24.9,342.8,,60,{}
PARAM-000324,STEP-000324,20.2,,,32,{}
PARAM-000325,STEP-000325,26.9,,1410.3,91,{}
PARAM-000326,STEP-000326,1682.9,,7.9,63,"{""wire_type"": ""ER70S-6"", ""shielding_gas"": ""100% CO2""}"
PARAM-000327,STEP-000327,896.9,,,3074,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""air""}"
PARAM-000328,STEP-000328,78.6,39.3,,245,"{""coating_type"": ""epoxy"", ""thickness_mil"": 4.5}"
PARAM-000329,STEP-000329,24.4,97.2,,220,{}
PARAM-000330,STEP-000330,21.0,,,57,{}
PARAM-000331,STEP-000331,21.2,80.7,,573,{}
PARAM-000332,STEP-000332,23.9,211.8,,149,{}
PARAM-000333,STEP-000333,22.9,,,73,{}
PARAM-000334,STEP-000334,30.0,,1049.9,176,{}
PARAM-000335,STEP-000335,1786.2,,5.7,270,"{""wire_type"": ""ER100S-G"", ""shielding_gas"": ""90/10 Ar/CO2""}"
PARAM-000336,STEP-000336,862.2,,,3022,"{""atmosphere"": ""argon"", ""quench_medium"": ""air""}"
PARAM-000337,STEP-000337,65.8,31.6,,156,"{""coating_type"": ""polyurethane"", ""thickness_mil"": 2.3}"
PARAM-000338,STEP-000338,23.5,89.0,,384,{}
PARAM-000339,STEP-000339,23.7,,,58,{}
PARAM-000340,STEP-000340,21.5,74.6,,584,{}
PARAM-000341,STEP-000341,24.1,100.9,,105,{}
PARAM-000342,STEP-000342,24.7,,,51,{}
PARAM-000343,STEP-000343,32.4,,1433.6,180,{}
PARAM-000344,STEP-000344,1793.1,,9.8,86,"{""wire_type"": ""ER100S-G"", ""shielding_gas"": ""100% CO2""}"
PARAM-000345,STEP-000345,882.1,,,3765,"{""atmosphere"": ""nitrogen"", ""quench_medium"": ""air""}"
PARAM-000346,STEP-000346,71.0,46.1,,296,"{""coating_type"": ""powder"", ""thickness_mil"": 3.9}"
PARAM-000347,STEP-000347,24.8,72.5,,328,{}
PARAM-000348,STEP-000348,22.2,,,39,{}
PARAM-000349,STEP-000349,23.6,86.3,,430,{}
