WORK_ORDER_ID,PRODUCT_FAMILY,PRODUCT_SERIES,SERIAL_NUMBER,START_DATE,COMPLETION_DATE,STATUS
WO-00181,Excavator,HD-Series,EXC-H-23377,2021-07-29,2021-08-17,completed
WO-00182,Grader,HD-Series,GRA-H-52067,2020-06-21,2020-06-30,completed
WO-00183,Excavator,Compact,EXC-C-12368,2023-05-06,2023-05-21,quality_hold
WO-00184,Excavator,Compact,EXC-C-45429,2024-01-16,2024-02-02,quality_hold
WO-00185,Grader,Compact,GRA-C-36449,2024-07-06,2024-07-26,quality_hold
WO-00186,Grader,Compact,GRA-C-51199,2023-03-09,2023-03-26,completed
WO-00187,Grader,Compact,GRA-C-28214,2021-03-16,2021-04-01,completed
WO-00188,Loader,Compact,LOA-C-99895,2022-08-14,2022-08-28,completed
WO-00189,Excavator,HD-Series,EXC-H-53115,2024-04-20,2024-05-07,completed
WO-00190,Excavator,Compact,EXC-C-93515,2022-08-08,2022-08-20,completed
WO-00191,Grader,Compact,GRA-C-57221,2023-11-02,2023-11-09,completed
WO-00192,Grader,Standard,GRA-S-10275,2023-03-27,2023-04-08,completed
WO-00193,Excavator,Compact,EXC-C-90449,2024-07-02,2024-07-09,completed
WO-00194,Excavator,Compact,EXC-C-76258,2024-12-14,2024-12-25,completed
WO-00195,Grader,Standard,GRA-S-50984,2024-08-13,2024-08-29,completed
WO-00196,Loader,HD-Series,LOA-H-81799,2022-11-09,2022-11-29,quality_hold
WO-00197,Grader,Standard,GRA-S-27502,2024-03-16,2024-03-25,completed
WO-00198,Loader,Compact,LOA-C-64050,2021-07-10,2021-07-23,completed
WO-00199,Excavator,Compact,EXC-C-96247,2022-06-02,2022-06-10,completed
WO-00200,Grader,Compact,GRA-C-54299,2023-09-19,2023-10-02,quality_hold
WO-00201,Bulldozer,Compact,BUL-C-72475,2021-03-16,2021-03-21,completed
WO-00202,Excavator,Standard,EXC-S-48682,2023-04-24,2023-05-02,completed
WO-00203,Bulldozer,Compact,BUL-C-29142,2024-04-22,2024-05-01,quality_hold
WO-00204,Grader,HD-Series,GRA-H-73445,2021-03-21,2021-04-03,completed
WO-00205,Loader,Compact,LOA-C-19411,2022-06-03,2022-06-11,completed
WO-00206,Excavator,Compact,EXC-C-15715,2021-05-15,2021-06-01,quality_hold
WO-00207,Loader,Compact,LOA-C-18963,2023-05-09,2023-05-18,completed
WO-00208,Grader,Compact,GRA-C-46437,2020-11-26,2020-12-05,completed
WO-00209,Grader,HD-Series,GRA-H-35955,2022-04-24,2022-05-14,quality_hold
WO-00210,Grader,Compact,GRA-C-52801,2024-01-16,2024-01-21,completed
WO-00211,Excavator,Standard,EXC-S-26351,2022-03-05,2022-03-15,completed
WO-00212,Bulldozer,HD-Series,BUL-H-88653,2021-01-29,2021-02-16,completed
WO-00213,Loader,Standard,LOA-S-42295,2024-05-23,2024-06-04,completed
WO-00214,Loader,HD-Series,LOA-H-73334,2024-10-29,2024-11-16,completed
WO-00215,Grader,HD-Series,GRA-H-67423,2024-02-21,2024-03-03,quality_hold
WO-00216,Excavator,Standard,EXC-S-94624,2023-10-08,2023-10-22,completed
WO-00217,Bulldozer,Compact,BUL-C-58310,2022-02-17,2022-02-25,quality_hold
WO-00218,Grader,Compact,GRA-C-37546,2024-08-19,2024-08-27,completed
WO-00219,Loader,Compact,LOA-C-47367,2020-05-25,2020-06-04,quality_hold
WO-00220,Bulldozer,HD-Series,BUL-H-86474,2021-02-17,2021-02-27,quality_hold
WO-00221,Excavator,Standard,EXC-S-38016,2020-11-22,2020-12-07,completed
WO-00222,Excavator,HD-Series,EXC-H-78565,2021-08-07,2021-08-19,completed
WO-00223,Bulldozer,Standard,BUL-S-97621,2021-11-03,2021-11-18,completed
WO-00224,Grader,HD-Series,GRA-H-48293,2022-12-07,2022-12-19,completed
WO-00225,Bulldozer,Compact,BUL-C-56097,2022-05-02,2022-05-20,completed
WO-00226,Bulldozer,HD-Series,BUL-H-77385,2024-08-29,2024-09-10,completed
WO-00227,Loader,Standard,LOA-S-64497,2020-12-25,2021-01-12,quality_hold
WO-00228,Excavator,Compact,EXC-C-36379,2022-02-28,2022-03-17,completed
WO-00229,Bulldozer,Standard,BUL-S-22850,2023-08-18,2023-09-07,completed
WO-00230,Grader,HD-Series,GRA-H-66706,2022-08-01,2022-08-15,completed
WO-00231,Loader,Compact,LOA-C-35182,2024-04-09,2024-04-15,completed
WO-00232,Grader,Compact,GRA-C-83997,2022-03-01,2022-03-07,completed
WO-00233,Bulldozer,HD-Series,BUL-H-81272,2023-06-21,2023-07-11,quality_hold
WO-00234,Bulldozer,HD-Series,BUL-H-43485,2020-04-24,2020-04-30,completed
WO-00235,Grader,Standard,GRA-S-57862,2022-05-01,2022-05-10,completed
WO-00236,Grader,HD-Series,GRA-H-94597,2020-09-18,2020-10-05,quality_hold
WO-00237,Loader,Compact,LOA-C-83973,2022-04-24,2022-05-01,completed
WO-00238,Excavator,Standard,EXC-S-24056,2022-11-16,2022-12-05,completed
WO-00239,Grader,Compact,GRA-C-25159,2023-02-01,2023-02-10,completed
WO-00240,Grader,HD-Series,GRA-H-82128,2022-11-27,2022-12-14,completed
WO-00241,Loader,Standard,LOA-S-46629,2022-06-02,2022-06-14,completed
WO-00242,Excavator,HD-Series,EXC-H-20630,2023-09-24,2023-10-02,completed
WO-00243,Grader,Standard,GRA-S-68292,2020-06-26,2020-07-16,completed
WO-00244,Loader,HD-Series,LOA-H-78250,2020-01-25,2020-02-02,completed
WO-00245,Bulldozer,HD-Series,BUL-H-26284,2024-07-28,2024-08-10,completed
WO-00246,Excavator,Compact,EXC-C-18128,2024-12-07,2024-12-27,completed
WO-00247,Bulldozer,HD-Series,BUL-H-57121,2020-02-01,2020-02-19,quality_hold
WO-00248,Excavator,HD-Series,EXC-H-72025,2022-04-02,2022-04-17,completed
WO-00249,Bulldozer,HD-Series,BUL-H-67286,2021-01-15,2021-02-01,completed
WO-00250,Grader,HD-Series,GRA-H-52969,2023-12-10,2023-12-17,completed
WO-00251,Grader,Standard,GRA-S-90919,2024-06-12,2024-06-19,completed
WO-00252,Grader,Compact,GRA-C-55448,2023-03-08,2023-03-21,completed
WO-00253,Grader,HD-Series,GRA-H-78484,2023-10-15,2023-10-26,quality_hold
WO-00254,Excavator,Compact,EXC-C-43118,2023-12-05,2023-12-10,completed
WO-00255,Excavator,Compact,EXC-C-36909,2021-11-21,2021-12-08,quality_hold
WO-00256,Bulldozer,HD-Series,BUL-H-39064,2024-01-10,2024-01-25,completed
WO-00257,Loader,Standard,LOA-S-21668,2022-10-21,2022-11-03,completed
WO-00258,Excavator,Compact,EXC-C-22411,2022-04-18,2022-05-06,completed
WO-00259,Bulldozer,Compact,BUL-C-21146,2022-06-13,2022-06-24,completed
WO-00260,Grader,Compact,GRA-C-96100,2021-07-30,2021-08-10,quality_hold
WO-00261,Grader,Compact,GRA-C-93685,2021-01-28,2021-02-05,quality_hold
WO-00262,Grader,HD-Series,GRA-H-35485,2021-07-06,2021-07-12,quality_hold
WO-00263,Loader,Standard,LOA-S-67848,2022-08-29,2022-09-07,completed
WO-00264,Excavator,HD-Series,EXC-H-22464,2024-01-29,2024-02-07,completed
WO-00265,Bulldozer,HD-Series,BUL-H-65806,2022-07-04,2022-07-11,quality_hold
WO-00266,Grader,Compact,GRA-C-29301,2022-01-12,2022-01-28,completed
WO-00267,Grader,Standard,GRA-S-59842,2020-03-30,2020-04-18,completed
WO-00268,Bulldozer,Standard,BUL-S-13922,2020-06-11,2020-06-30,completed
WO-00269,Excavator,Standard,EXC-S-70520,2024-06-21,2024-07-04,completed
WO-00270,Grader,Compact,GRA-C-18259,2022-04-06,2022-04-16,quality_hold
WO-00271,Excavator,Compact,EXC-C-41271,2020-08-25,2020-09-12,completed
WO-00272,Excavator,Standard,EXC-S-26407,2020-01-28,2020-02-15,quality_hold
WO-00273,Grader,Compact,GRA-C-16557,2023-10-18,2023-11-05,completed
WO-00274,Bulldozer,Standard,BUL-S-55864,2024-01-31,2024-02-20,completed
WO-00275,Excavator,HD-Series,EXC-H-22661,2020-09-10,2020-09-26,completed
WO-00276,Grader,Standard,GRA-S-37851,2020-04-20,2020-05-04,completed
WO-00277,Excavator,Compact,EXC-C-79505,2024-07-13,2024-07-28,completed
WO-00278,Bulldozer,Standard,BUL-S-60923,2020-02-23,2020-03-04,completed
WO-00279,Loader,Compact,LOA-C-56983,2022-01-25,2022-02-13,completed
WO-00280,Excavator,HD-Series,EXC-H-35990,2023-02-14,2023-02-24,quality_hold
WO-00281,Bulldozer,HD-Series,BUL-H-93136,2024-01-25,2024-01-31,completed
WO-00282,Grader,Standard,GRA-S-51288,2021-07-26,2021-07-31,completed
WO-00283,Excavator,HD-Series,EXC-H-69629,2023-06-29,2023-07-14,completed
WO-00284,Loader,Compact,LOA-C-62736,2024-12-12,2024-12-25,completed
WO-00285,Bulldozer,Standard,BUL-S-33516,2020-05-24,2020-06-09,completed
WO-00286,Loader,HD-Series,LOA-H-94149,2024-11-19,2024-11-25,completed
WO-00287,Loader,HD-Series,LOA-H-31992,2020-07-12,2020-07-30,quality_hold
WO-00288,Excavator,HD-Series,EXC-H-97884,2022-08-04,2022-08-14,completed
WO-00289,Grader,HD-Series,GRA-H-19233,2024-05-28,2024-06-10,completed
WO-00290,Excavator,Standard,EXC-S-44701,2020-10-15,2020-10-27,completed
WO-00291,Loader,Standard,LOA-S-92424,2023-09-29,2023-10-19,completed
WO-00292,Excavator,Standard,EXC-S-73569,2022-11-22,2022-12-03,completed
WO-00293,Excavator,HD-Series,EXC-H-74656,2021-03-15,2021-04-04,quality_hold
WO-00294,Bulldozer,Standard,BUL-S-57035,2023-06-17,2023-07-04,completed
WO-00295,Bulldozer,HD-Series,BUL-H-17986,2021-11-23,2021-12-07,completed
WO-00296,Bulldozer,Compact,BUL-C-71381,2024-09-17,2024-10-07,completed
WO-00297,Grader,Compact,GRA-C-37849,2024-11-19,2024-11-25,completed
WO-00298,Loader,Compact,LOA-C-83283,2022-12-26,2023-01-09,completed
WO-00299,Bulldozer,Standard,BUL-S-22974,2020-02-22,2020-02-27,completed
WO-00300,Grader,Compact,GRA-C-98704,2024-07-24,2024-08-04,completed
WO-00301,Bulldozer,Standard,BUL-S-32941,2023-04-30,2023-05-11,completed
WO-00302,Loader,HD-Series,LOA-H-87502,2024-04-20,2024-05-05,completed
WO-00303,Bulldozer,Standard,BUL-S-65183,2021-05-08,2021-05-25,completed
WO-00304,Grader,Compact,GRA-C-68780,2021-06-29,2021-07-10,completed
WO-00305,Excavator,HD-Series,EXC-H-75093,2022-08-05,2022-08-17,completed
WO-00306,Loader,Compact,LOA-C-61232,2022-09-18,2022-09-27,completed
WO-00307,Excavator,HD-Series,EXC-H-89263,2022-11-12,2022-11-22,completed
WO-00308,Excavator,HD-Series,EXC-H-89405,2021-10-07,2021-10-26,completed
WO-00309,Grader,HD-Series,GRA-H-28442,2023-05-27,2023-06-08,completed
WO-00310,Grader,Standard,GRA-S-47101,2022-02-28,2022-03-06,completed
WO-00311,Excavator,Compact,EXC-C-98349,2020-10-18,2020-11-03,completed
WO-00312,Loader,Compact,LOA-C-86751,2020-04-07,2020-04-19,completed
WO-00313,Excavator,Standard,EXC-S-58130,2021-12-15,2021-12-27,completed
WO-00314,Loader,HD-Series,LOA-H-68005,2023-02-20,2023-03-06,completed
WO-00315,Loader,HD-Series,LOA-H-73310,2021-09-24,2021-10-14,quality_hold
WO-00316,Grader,Compact,GRA-C-66704,2024-07-03,2024-07-13,quality_hold
WO-00317,Bulldozer,HD-Series,BUL-H-11874,2021-10-23,2021-11-08,completed
WO-00318,Loader,Compact,LOA-C-11277,2021-08-09,2021-08-21,completed
WO-00319,Bulldozer,Standard,BUL-S-29670,2023-09-12,2023-09-26,completed
WO-00320,Grader,HD-Series,GRA-H-30831,2024-04-03,2024-04-19,completed
WO-00321,Excavator,Standard,EXC-S-83488,2023-06-22,2023-07-06,completed
WO-00322,Bulldozer,Standard,BUL-S-23429,2024-06-06,2024-06-18,quality_hold
WO-00323,Bulldozer,HD-Series,BUL-H-80244,2021-05-26,2021-06-15,completed
WO-00324,Grader,Compact,GRA-C-95087,2020-12-30,2021-01-14,quality_hold
WO-00325,Bulldozer,HD-Series,BUL-H-80565,2023-01-09,2023-01-20,completed
WO-00326,Loader,Standard,LOA-S-69869,2021-09-11,2021-09-27,quality_hold
WO-00327,Bulldozer,HD-Series,BUL-H-74666,2024-10-31,2024-11-17,completed
