MATERIAL_ID,SUPPLIER_ID,BATCH_NUMBER,MATERIAL_TYPE,SPECS,RECEIVED_DATE,QUANTITY,UNIT_COST
MAT-00027,SUP-001,3705,hydraulic_valve,"{""grade"": ""B"", ""tolerance"": 0.0057}",2023-05-27,266,482.54
MAT-00028,SUP-001,4295,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.0038}",2023-10-07,382,192.98
MAT-00029,SUP-001,8397,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.0032}",2020-05-11,223,20.31
MAT-00030,SUP-001,4770,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.003}",2020-05-25,412,319.24
MAT-00031,SUP-001,2104,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0087}",2020-05-25,313,126.62
MAT-00032,SUP-001,8953,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.0059}",2024-01-21,342,292.34
MAT-00033,SUP-001,8749,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.0027}",2020-07-17,387,221.22
MAT-00034,SUP-001,7735,hydraulic_pump,"{""grade"": ""B"", ""tolerance"": 0.0088}",2020-04-20,394,330.19
MAT-00035,SUP-001,2612,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.0046}",2021-11-25,459,432.22
MAT-00036,SUP-001,4139,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0058}",2020-10-14,266,99.91
MAT-00037,SUP-001,5092,hydraulic_pump,"{""grade"": ""A"", ""tolerance"": 0.005}",2024-10-30,488,279.66
MAT-00038,SUP-001,9856,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0097}",2024-03-23,484,125.83
MAT-00039,SUP-001,8956,hydraulic_pump,"{""grade"": ""B"", ""tolerance"": 0.0029}",2022-04-01,80,90.67
MAT-00040,SUP-001,7396,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.0093}",2024-05-26,282,149.77
MAT-00041,SUP-001,8973,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.0027}",2021-03-21,79,293.8
MAT-00042,SUP-001,1998,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.0038}",2020-04-12,349,243.63
MAT-00043,SUP-001,3579,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.0096}",2020-06-13,485,101.05
MAT-00044,SUP-001,2113,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.0088}",2022-04-06,111,471.38
MAT-00045,SUP-001,5033,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.0064}",2023-06-22,91,215.42
MAT-00046,SUP-001,9565,hydraulic_valve,"{""grade"": ""B"", ""tolerance"": 0.0094}",2021-02-22,392,360.93
MAT-00047,SUP-001,5351,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.0022}",2023-08-14,203,234.04
MAT-00048,SUP-001,1152,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.0066}",2023-02-27,101,45.9
MAT-00049,SUP-001,9288,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.0022}",2021-12-15,85,440.84
MAT-00050,SUP-001,5669,hydraulic_pump,"{""grade"": ""A"", ""tolerance"": 0.0049}",2023-01-17,410,158.23
MAT-00051,SUP-001,9666,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.007}",2023-02-09,203,466.56
MAT-00052,SUP-001,3200,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.002}",2020-08-07,430,281.08
MAT-00053,SUP-001,5616,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0029}",2021-12-03,154,346.87
MAT-00054,SUP-001,9280,hydraulic_pump,"{""grade"": ""B"", ""tolerance"": 0.0033}",2025-02-02,483,34.89
MAT-00055,SUP-001,7939,hydraulic_valve,"{""grade"": ""B"", ""tolerance"": 0.0014}",2021-11-14,444,74.1
MAT-00056,SUP-001,3647,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.005}",2023-12-16,268,284.84
MAT-00057,SUP-001,2232,hydraulic_cylinder,"{""grade"": ""C"", ""tolerance"": 0.0091}",2023-01-22,68,418.95
MAT-00058,SUP-001,3426,hydraulic_valve,"{""grade"": ""B"", ""tolerance"": 0.0021}",2021-09-23,236,450.5
MAT-00059,SUP-001,6862,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0071}",2023-09-27,102,183.3
MAT-00060,SUP-001,7658,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.0077}",2021-04-29,492,89.63
MAT-00061,SUP-001,7755,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0026}",2021-11-11,450,466.1
MAT-00062,SUP-001,5065,hydraulic_valve,"{""grade"": ""B"", ""tolerance"": 0.0024}",2023-12-07,105,197.45
MAT-00063,SUP-001,8711,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0028}",2022-07-31,229,159.54
MAT-00064,SUP-001,4652,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0069}",2022-03-27,218,146.52
MAT-00065,SUP-001,5573,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.0068}",2022-03-29,397,490.76
MAT-00066,SUP-001,6425,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.002}",2021-06-18,141,294.49
MAT-00067,SUP-001,1626,hydraulic_pump,"{""grade"": ""A"", ""tolerance"": 0.0064}",2021-12-08,423,395.35
MAT-00068,SUP-001,9379,hydraulic_pump,"{""grade"": ""A"", ""tolerance"": 0.0045}",2023-03-26,147,134.81
MAT-00069,SUP-001,8144,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.0057}",2024-07-09,325,346.56
MAT-00070,SUP-001,4228,hydraulic_valve,"{""grade"": ""B"", ""tolerance"": 0.0049}",2023-09-22,219,315.35
MAT-00071,SUP-001,3041,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.0091}",2022-11-04,208,336.78
MAT-00072,SUP-001,7592,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0037}",2020-09-17,148,216.02
MAT-00073,SUP-001,3851,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0061}",2022-04-11,330,418.53
MAT-00074,SUP-001,5700,hydraulic_pump,"{""grade"": ""A"", ""tolerance"": 0.0049}",2023-04-02,360,330.81
MAT-00075,SUP-001,8238,hydraulic_pump,"{""grade"": ""B"", ""tolerance"": 0.0071}",2022-11-12,292,398.93
MAT-00076,SUP-001,3780,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.0018}",2022-11-21,389,320.14
MAT-00077,SUP-001,2530,hydraulic_pump,"{""grade"": ""A"", ""tolerance"": 0.0071}",2021-04-05,462,107.57
MAT-00078,SUP-001,1757,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0099}",2023-06-05,485,386.56
MAT-00079,SUP-001,7790,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0062}",2024-01-11,406,198.15
MAT-00080,SUP-001,4997,hydraulic_pump,"{""grade"": ""A"", ""tolerance"": 0.0069}",2020-01-12,434,431.62
MAT-00081,SUP-001,7965,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0026}",2023-11-26,315,237.63
MAT-00082,SUP-001,5082,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.0051}",2024-06-29,287,337.11
MAT-00083,SUP-001,6198,hydraulic_valve,"{""grade"": ""B"", ""tolerance"": 0.0065}",2024-01-13,308,219.1
MAT-00084,SUP-001,8305,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.0077}",2022-08-30,280,137.0
MAT-00085,SUP-001,5543,hydraulic_cylinder,"{""grade"": ""C"", ""tolerance"": 0.0054}",2021-05-04,190,225.54
MAT-00086,SUP-001,5681,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.0034}",2021-10-16,326,49.48
MAT-00087,SUP-001,4788,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.0072}",2023-12-17,159,41.47
MAT-00088,SUP-001,6421,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0052}",2020-05-07,155,418.12
MAT-00089,SUP-001,1320,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0044}",2020-01-13,230,156.32
MAT-00090,SUP-001,7865,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0077}",2023-01-23,459,305.59
MAT-00091,SUP-001,8999,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0035}",2022-09-21,64,200.54
MAT-00092,SUP-001,7624,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.0025}",2022-08-15,115,490.55
MAT-00093,SUP-001,1441,hydraulic_valve,"{""grade"": ""B"", ""tolerance"": 0.0063}",2023-09-19,63,51.13
MAT-00094,SUP-001,3223,hydraulic_pump,"{""grade"": ""B"", ""tolerance"": 0.0026}",2021-06-16,244,170.4
MAT-00095,SUP-001,6355,hydraulic_pump,"{""grade"": ""B"", ""tolerance"": 0.0079}",2022-02-15,192,378.48
MAT-00096,SUP-001,5133,hydraulic_pump,"{""grade"": ""A"", ""tolerance"": 0.0052}",2024-03-14,326,35.52
MAT-00097,SUP-001,4673,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0016}",2023-08-27,70,379.57
MAT-00098,SUP-001,4266,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0066}",2021-05-03,114,242.04
MAT-00099,SUP-001,4571,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.0073}",2024-04-19,238,92.22
MAT-00100,SUP-001,2876,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.0097}",2020-08-09,346,22.58
MAT-00101,SUP-001,7149,hydraulic_pump,"{""grade"": ""B"", ""tolerance"": 0.0095}",2021-02-10,88,300.13
MAT-00102,SUP-001,4978,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.0073}",2021-09-09,485,345.29
MAT-00103,SUP-001,1672,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.0058}",2023-09-16,239,43.79
MAT-00104,SUP-001,6590,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.0086}",2024-08-11,300,61.71
MAT-00105,SUP-001,8532,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0024}",2020-12-26,425,265.66
MAT-00106,SUP-001,5425,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.0083}",2023-01-07,446,246.91
MAT-00107,SUP-001,5397,hydraulic_pump,"{""grade"": ""B"", ""tolerance"": 0.0087}",2024-08-28,94,146.67
MAT-00108,SUP-001,4995,hydraulic_pump,"{""grade"": ""B"", ""tolerance"": 0.0061}",2023-09-30,244,174.83
MAT-00109,SUP-001,6325,hydraulic_pump,"{""grade"": ""A"", ""tolerance"": 0.0054}",2021-12-27,458,136.59
MAT-00110,SUP-001,5526,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0011}",2021-01-26,93,128.26
MAT-00111,SUP-001,9004,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0078}",2023-11-15,293,326.49
MAT-00112,SUP-001,8342,hydraulic_pump,"{""grade"": ""A"", ""tolerance"": 0.0018}",2021-03-29,257,348.98
MAT-00113,SUP-001,7046,hydraulic_pump,"{""grade"": ""B"", ""tolerance"": 0.006}",2021-12-05,267,498.35
MAT-00114,SUP-001,6419,hydraulic_valve,"{""grade"": ""B"", ""tolerance"": 0.0073}",2021-07-08,206,133.19
MAT-00115,SUP-001,4155,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.0021}",2023-01-02,440,348.18
MAT-00116,SUP-001,4545,hydraulic_cylinder,"{""grade"": ""C"", ""tolerance"": 0.0054}",2024-01-23,351,488.54
MAT-00117,SUP-001,5636,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.0085}",2021-08-29,166,186.83
MAT-00118,SUP-001,1231,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0058}",2021-07-15,73,487.4
MAT-00119,SUP-001,5786,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.0095}",2023-07-30,494,378.87
MAT-00120,SUP-001,1200,hydraulic_cylinder,"{""grade"": ""C"", ""tolerance"": 0.0036}",2022-09-07,275,176.95
MAT-00121,SUP-001,5136,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.002}",2020-05-13,255,250.96
MAT-00122,SUP-001,1878,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.0023}",2023-02-26,205,51.74
MAT-00123,SUP-001,2940,hydraulic_cylinder,"{""grade"": ""C"", ""tolerance"": 0.0079}",2023-05-26,355,397.46
MAT-00124,SUP-001,9561,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.0051}",2022-06-25,202,431.48
MAT-00125,SUP-001,6003,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0066}",2023-06-02,428,58.62
MAT-00126,SUP-001,4457,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.0069}",2020-11-17,172,95.17
MAT-00127,SUP-001,3564,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0047}",2023-11-12,354,240.26
MAT-00128,SUP-001,4792,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.0074}",2023-12-10,490,232.48
MAT-00129,SUP-001,4824,hydraulic_valve,"{""grade"": ""B"", ""tolerance"": 0.0081}",2023-07-04,351,333.98
MAT-00130,SUP-001,7965,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0059}",2023-08-19,126,455.12
MAT-00131,SUP-001,2169,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0025}",2021-09-21,354,376.99
MAT-00132,SUP-001,5728,hydraulic_valve,"{""grade"": ""B"", ""tolerance"": 0.0021}",2023-11-11,205,352.87
MAT-00133,SUP-001,9199,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0054}",2020-06-13,356,29.53
MAT-00134,SUP-001,6280,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0033}",2020-07-06,167,481.34
MAT-00135,SUP-001,1339,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.0084}",2023-03-26,70,383.92
MAT-00136,SUP-001,8708,hydraulic_cylinder,"{""grade"": ""C"", ""tolerance"": 0.0069}",2021-07-23,142,498.5
MAT-00137,SUP-001,9056,hydraulic_pump,"{""grade"": ""A"", ""tolerance"": 0.0052}",2022-04-16,220,167.32
MAT-00138,SUP-001,3634,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.0047}",2022-10-11,197,334.67
MAT-00139,SUP-001,1601,hydraulic_pump,"{""grade"": ""B"", ""tolerance"": 0.0018}",2021-05-31,215,66.8
MAT-00140,SUP-001,9431,hydraulic_pump,"{""grade"": ""A"", ""tolerance"": 0.0069}",2023-01-16,286,212.49
MAT-00141,SUP-001,9494,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.0066}",2022-10-17,370,226.6
MAT-00142,SUP-001,4335,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.0059}",2021-08-12,274,441.61
MAT-00143,SUP-001,2989,hydraulic_pump,"{""grade"": ""A"", ""tolerance"": 0.0098}",2023-05-31,459,127.26
MAT-00144,SUP-001,6091,hydraulic_cylinder,"{""grade"": ""C"", ""tolerance"": 0.0011}",2022-04-15,97,120.1
MAT-00145,SUP-001,8560,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0068}",2020-11-11,305,467.0
MAT-00146,SUP-001,9337,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0035}",2024-09-05,297,490.32
MAT-00147,SUP-001,8483,hydraulic_cylinder,"{""grade"": ""C"", ""tolerance"": 0.0023}",2021-01-25,356,259.04
MAT-00148,SUP-001,2143,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.008}",2024-10-15,262,176.54
MAT-00149,SUP-001,5377,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.0035}",2021-09-03,478,297.6
MAT-00150,SUP-001,9022,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.005}",2022-09-18,226,172.9
MAT-00151,SUP-001,7180,hydraulic_valve,"{""grade"": ""B"", ""tolerance"": 0.0094}",2024-11-15,146,490.58
MAT-00152,SUP-001,7274,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0087}",2022-04-21,72,165.91
MAT-00153,SUP-001,7246,hydraulic_pump,"{""grade"": ""B"", ""tolerance"": 0.0099}",2024-06-10,470,329.49
MAT-00154,SUP-001,9115,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0021}",2023-04-23,219,436.15
MAT-00155,SUP-001,2633,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0092}",2020-02-01,419,80.64
MAT-00156,SUP-001,3529,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.0052}",2021-06-26,223,315.4
MAT-00157,SUP-001,2315,hydraulic_pump,"{""grade"": ""B"", ""tolerance"": 0.0087}",2024-10-25,323,196.2
MAT-00158,SUP-001,8994,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0013}",2020-05-20,170,319.27
MAT-00159,SUP-001,4727,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0018}",2020-07-20,439,320.54
MAT-00160,SUP-001,8269,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0072}",2025-01-24,64,32.54
MAT-00161,SUP-001,5806,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.0044}",2020-10-25,175,270.27
MAT-00162,SUP-001,3950,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.0026}",2023-06-02,495,197.45
MAT-00163,SUP-001,4945,hydraulic_valve,"{""grade"": ""B"", ""tolerance"": 0.0092}",2020-10-20,168,235.96
MAT-00164,SUP-001,8529,hydraulic_pump,"{""grade"": ""B"", ""tolerance"": 0.007}",2025-01-14,461,237.97
MAT-00165,SUP-001,9955,hydraulic_pump,"{""grade"": ""A"", ""tolerance"": 0.0017}",2021-12-08,350,156.59
MAT-00166,SUP-001,5097,hydraulic_pump,"{""grade"": ""B"", ""tolerance"": 0.0086}",2021-02-11,246,428.13
MAT-00167,SUP-001,4886,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.0061}",2023-03-23,201,496.42
MAT-00168,SUP-001,1359,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0046}",2020-01-17,339,433.88
MAT-00169,SUP-001,1803,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.0077}",2024-09-01,196,390.11
MAT-00170,SUP-001,6772,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0067}",2023-06-25,178,342.1
MAT-00171,SUP-001,3240,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.0019}",2023-07-09,380,29.32
MAT-00172,SUP-001,1546,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0043}",2020-09-26,96,455.72
MAT-00173,SUP-001,7807,hydraulic_pump,"{""grade"": ""A"", ""tolerance"": 0.0028}",2024-05-29,326,439.47
MAT-00174,SUP-001,9697,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0092}",2024-08-27,134,135.92
MAT-00175,SUP-001,5835,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0088}",2024-07-05,108,239.48
MAT-00176,SUP-001,3306,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0087}",2024-01-23,395,490.17
MAT-00177,SUP-001,6992,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.0081}",2020-01-29,185,272.92
MAT-00178,SUP-001,7038,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0077}",2021-06-20,349,196.7
MAT-00179,SUP-001,7086,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.0071}",2022-08-23,62,313.58
MAT-00180,SUP-001,6374,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.003}",2020-05-09,375,413.69
MAT-00181,SUP-001,5951,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.0047}",2020-10-13,73,473.67
MAT-00182,SUP-001,9071,hydraulic_pump,"{""grade"": ""A"", ""tolerance"": 0.0019}",2024-12-22,325,76.48
MAT-00183,SUP-001,7078,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0095}",2023-11-27,326,215.37
MAT-00184,SUP-001,3531,hydraulic_valve,"{""grade"": ""B"", ""tolerance"": 0.0069}",2024-09-03,300,311.67
MAT-00185,SUP-001,1536,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0043}",2022-06-27,277,475.77
MAT-00186,SUP-001,2627,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0043}",2025-01-20,380,185.75
MAT-00187,SUP-001,5520,hydraulic_pump,"{""grade"": ""A"", ""tolerance"": 0.0097}",2024-10-02,471,232.81
MAT-00188,SUP-001,4475,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.0068}",2020-02-13,75,395.53
MAT-00189,SUP-001,3063,hydraulic_cylinder,"{""grade"": ""C"", ""tolerance"": 0.0028}",2024-08-26,441,281.56
MAT-00190,SUP-001,4538,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.004}",2020-10-29,453,451.26
MAT-00191,SUP-001,5542,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0099}",2023-01-11,178,401.27
MAT-00192,SUP-001,1422,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0011}",2024-06-05,453,126.59
MAT-00193,SUP-001,1258,hydraulic_pump,"{""grade"": ""A"", ""tolerance"": 0.0034}",2020-09-16,429,216.27
MAT-00194,SUP-001,2041,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.005}",2022-01-11,312,300.9
MAT-00195,SUP-001,9254,hydraulic_pump,"{""grade"": ""A"", ""tolerance"": 0.0095}",2020-03-29,422,393.78
MAT-00196,SUP-001,9543,hydraulic_valve,"{""grade"": ""B"", ""tolerance"": 0.0051}",2020-03-04,81,499.31
MAT-00197,SUP-001,7984,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.002}",2023-12-29,277,46.01
MAT-00198,SUP-001,6277,hydraulic_cylinder,"{""grade"": ""C"", ""tolerance"": 0.0023}",2020-09-15,190,315.92
MAT-00199,SUP-001,9984,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.0039}",2023-05-08,321,154.5
MAT-00200,SUP-001,8048,hydraulic_valve,"{""grade"": ""A"", ""tolerance"": 0.0081}",2020-08-22,486,330.81
MAT-00201,SUP-001,4522,hydraulic_valve,"{""grade"": ""B"", ""tolerance"": 0.0051}",2021-04-12,261,176.08
MAT-00202,SUP-001,7532,hydraulic_pump,"{""grade"": ""B"", ""tolerance"": 0.0076}",2021-10-02,268,163.14
MAT-00203,SUP-001,7132,hydraulic_pump,"{""grade"": ""A"", ""tolerance"": 0.0072}",2022-08-29,84,54.7
MAT-00204,SUP-001,2527,hydraulic_cylinder,"{""grade"": ""B"", ""tolerance"": 0.0019}",2024-02-22,240,407.77
MAT-00205,SUP-001,1982,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.0096}",2023-02-24,218,338.31
MAT-00206,SUP-001,6793,hydraulic_pump,"{""grade"": ""C"", ""tolerance"": 0.0095}",2022-05-16,494,458.76
MAT-00207,SUP-001,5712,hydraulic_cylinder,"{""grade"": ""C"", ""tolerance"": 0.0038}",2020-07-31,345,258.63
MAT-00208,SUP-001,8900,hydraulic_cylinder,"{""grade"": ""A"", ""tolerance"": 0.0086}",2021-12-18,482,282.57
MAT-00209,SUP-001,5564,hydraulic_cylinder,"{""grade"": ""C"", ""tolerance"": 0.003}",2022-05-28,482,284.87
MAT-00210,SUP-001,1430,hydraulic_valve,"{""grade"": ""C"", ""tolerance"": 0.0094}",2024-08-25,405,141.05
MAT-00211,SUP-001,5477,hydraulic_cylinder,"{""grade"": ""C"", ""tolerance"": 0.0079}",2021-11-26,229,12.99
